DATA,VALOR
2008-12-01,2124.8260507246378
2009-01-01,1365.6777370030582
2009-02-01,1442.7126013513514
2009-03-01,2351.546013667426
2009-04-01,2144.9019646799115
2009-05-01,1886.1302713178295
2009-06-01,2378.916014897579
2009-07-01,1903.7742242990653
2009-08-01,1788.687197696737
2009-09-01,1829.7425925925927
2009-10-01,1778.1984582441114
2009-11-01,1875.7226680672268
2009-12-01,3262.9138083538082
2010-01-01,2395.1650598802394
2010-02-01,2151.957985074627
2010-03-01,2285.7230769230773
2010-04-01,2035.6536923076922
2010-05-01,1901.493001808318
2010-06-01,2121.7427586206895
2010-07-01,1901.317853309481
2010-08-01,2014.4428917910445
2010-09-01,2026.5799253731345
2010-10-01,1933.7182065217391
2010-11-01,2161.6767736185384
2010-12-01,2250.3609523809523
2011-01-01,2196.643922077922
2011-02-01,2519.0988888888887
2011-03-01,2317.065322033898
2011-04-01,1928.1383333333333
2011-05-01,2325.286589147287
2011-06-01,2203.464204018547
2011-07-01,2315.7541548183253
2011-08-01,2178.7950796178343
2011-09-01,2123.6735284552847
2011-10-01,2462.1819696969696
2011-11-01,2790.8610742496053
2011-12-01,2401.7612441679626
2012-01-01,2301.600042643923
2012-02-01,2739.6213786764706
2012-03-01,2780.0773353751915
2012-04-01,2564.972699680511
2012-05-01,2414.2840133333334
2012-06-01,2397.195076071923
2012-07-01,2441.437801324503
2012-08-01,2325.7182328767126
2012-09-01,1932.9617810457519
2012-10-01,1997.4002114803625
2012-11-01,2021.6307020547947
2012-12-01,2436.0614899713464
2013-01-01,2410.3933853006683
2013-02-01,2110.898952991453
2013-03-01,2467.137117552335
2013-04-01,2522.4583496503496
2013-05-01,2540.16250327654
2013-06-01,2222.412056194125
2013-07-01,2320.828266666667
2013-08-01,2300.779790575916
2013-09-01,2128.0464174894214
2013-10-01,2281.9668802902056
2013-11-01,2302.4842085889572
2013-12-01,2214.7097213114753
2014-01-01,2596.7023440453686
2014-02-01,2223.721202003339
2014-03-01,2103.254798927614
2014-04-01,2350.452631578947
2014-05-01,2466.9990297684676
2014-06-01,2333.6863698630136
2014-07-01,2490.367680751174
2014-08-01,2247.2701542912246
2014-09-01,2088.120068027211
2014-10-01,2191.6829008341056
2014-11-01,2023.7870648815654
2014-12-01,2004.9384325637911
2015-01-01,2446.927632
2015-02-01,2374.484790011351
2015-03-01,2333.7319654841804
2015-04-01,2441.376666666667
2015-05-01,2389.7372118959106
2015-06-01,2595.6467883211676
2015-07-01,2430.7171926765477
2015-08-01,1943.9244102112675
2015-09-01,2116.2187864963503
2015-10-01,2139.6240328820118
2015-11-01,2398.351432926829
2015-12-01,2583.6812626832016
2016-01-01,2876.546324786325
2016-02-01,2843.6894719101124
2016-03-01,3181.769884853853
2016-04-01,2784.0525078369906
2016-05-01,3098.36155
2016-06-01,3285.632755102041
2016-07-01,2973.088247758761
2016-08-01,3092.5124345757336
2016-09-01,3022.884375510204
2016-10-01,2852.478995305164
2016-11-01,3185.774653767821
2016-12-01,2961.164038961039
2017-01-01,3492.502202166065
2017-02-01,3623.8572640509014
2017-03-01,3617.62627027027
2017-04-01,2876.7213846153845
2017-05-01,3255.498360101437
2017-06-01,3350.6021953188056
2017-07-01,2796.1192534992224
2017-08-01,3332.137932276657
2017-09-01,2786.022473895582
2017-10-01,2762.5270140428674
2017-11-01,3196.443899268887
2017-12-01,2904.819381107492
2018-01-01,3403.778302083333
2018-02-01,3044.588184059162
2018-03-01,3631.642294843864
2018-04-01,3584.844740740741
2018-05-01,2838.357906162465
2018-06-01,2861.1993108728943
2018-07-01,3049.4579738562093
2018-08-01,3466.7543626806832
2018-09-01,3280.7343754789276
2018-10-01,3273.5417945007234
2018-11-01,3285.1458968437255
2018-12-01,3867.1236153161176
2019-01-01,3352.205267489712
2019-02-01,3681.938225075529
2019-03-01,3568.7172087745844
2019-04-01,3323.244911764706
2019-05-01,3354.825535455861
2019-06-01,3091.1015091463414
2019-07-01,3195.124867997424
2019-08-01,3330.4031111111112
2019-09-01,3173.866737891738
2019-10-01,2930.946279974077
2019-11-01,3196.5093487109907
2019-12-01,2792.4073785517876
2020-01-01,3585.8722412241223
2020-02-01,2981.817002945508
2020-03-01,3618.4973285434357
2020-04-01,4231.585340014316
2020-05-01,4138.36652233677
2020-06-01,3423.28573257468
2020-07-01,4282.328592493297
2020-08-01,3662.08958308517
2020-09-01,3793.8852036793696
2020-10-01,3949.3761174242422
2020-11-01,3678.5419327731092
2020-12-01,4357.583529411764
2021-01-01,3352.800428015564
2021-02-01,3695.979374369324
2021-03-01,4501.917835526316
2021-04-01,4408.0510565391205
2021-05-01,3630.5185422575155
2021-06-01,4799.527276422764
2021-07-01,4026.993575825406
2021-08-01,3839.623567867036
2021-09-01,3931.1372191863993
2021-10-01,3710.122382928275
2021-11-01,3296.5928298397043
2021-12-01,3427.125287610619
2022-01-01,3768.733611836379
2022-02-01,4644.960284524635
2022-03-01,3736.601278013325
2022-04-01,3529.9093537641575
2022-05-01,3839.0755011933175
2022-06-01,3588.4794454173966
2022-07-01,3614.61413372093
2022-08-01,4335.977196209587
